Name,URL,Image,Capacity (W),Capacity (VA),Price
APC SMT750I,https://pcpartpicker.com/product/4LDzK8/apc-ups-smt750i,https://cdna.pcpartpicker.com/static/forever/images/product/133fe6967139460add101ab00f57aa7c.256p.jpg,500 W,750 VA,609.00
CyberPower OL3000RTXL2U,https://pcpartpicker.com/product/R7hj4D/cyberpower-ups-ol3000rtxl2u,https://cdna.pcpartpicker.com/static/forever/images/product/e12d1e7dea1f0b67e4983607dbc25cfa.256p.jpg,2700 W,3000 VA,2332.94
CyberPower PR2200SWRM2U,https://pcpartpicker.com/product/L3FXsY/cyberpower-ups-pr2200swrm2u,/static/forever/img/no-image.png,1500 W,2200 VA,
Lenovo 55943AX,https://pcpartpicker.com/product/Qpbkcf/lenovo-ups-55943ax,https://m.media-amazon.com/images/I/215AsmjKUfL.jpg,2700 W,3000 VA,
APC BR1500MS,https://pcpartpicker.com/product/XcndnQ/apc-br1500ms-ups-br1500ms,https://cdna.pcpartpicker.com/static/forever/images/product/e362d60291f0e35bdd77d92fa87e7fab.256p.jpg,900 W,1500 VA,
HP AF461A,https://pcpartpicker.com/product/9VYWGX/hp-ups-af461a,https://cdna.pcpartpicker.com/static/forever/images/product/cdf43dd9c8b03013a3bab1b89db0a03b.256p.jpg,4500 W,5000 VA,
APC SMX3000LV,https://pcpartpicker.com/product/96X2FT/apc-ups-smx3000lv,https://cdna.pcpartpicker.com/static/forever/images/product/76ed6aef9044fe855c188d7b1d1c7383.256p.jpg,2700 W,3000 VA,1892.00
APC SMX1500RM2UNC,https://pcpartpicker.com/product/KtJkcf/apc-ups-smx1500rm2unc,https://m.media-amazon.com/images/I/41ANcz6NdIL.jpg,1200 W,1500 VA,1329.99
Tripp Lite SMT1500LCDT,https://pcpartpicker.com/product/vhqbt6/tripp-lite-ups-smt1500lcdt,https://cdna.pcpartpicker.com/static/forever/images/product/5cd23a94fb14c39ef8ed143a695385a8.256p.jpg,900 W,1500 VA,304.99
CyberPower OR500LCDRM1U,https://pcpartpicker.com/product/p6X2FT/cyberpower-ups-or500lcdrm1u,https://cdna.pcpartpicker.com/static/forever/images/product/68a1c2399eec523255039c7b5351efd1.256p.jpg,300 W,500 VA,219.95
APC BR500CI-AS,https://pcpartpicker.com/product/LxYWGX/apc-ups-br500cias,https://cdna.pcpartpicker.com/static/forever/images/product/89c9f7e41fec878055b4ead6095ec80b.256p.jpg,300 W,500 VA,
